,Unnamed: 0,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Channel Views,Country,Region,CategoryID,CategoryName,Cluster,CategoryID_enc,VideoCluster,Channel_Cluster,Video_Cluster,Country_Cluster_x,Category_Cluster_x,Year,Month,Day,DayOfWeek,DayName,Views_per_Sub,Engagement,Like_per_Sub,Comment_per_Sub
4175,4175,7802,4802,311,0.9047373227348317,2053492,86204,32,79000,54962550,12,5,1,8,0,3,0,0,0,1,3,2025,10,16,3,0.6666666666666666,25.99324059189124,0.0419947864443657,1.0911760610625183,0.0004050581638207
4176,4176,2544,988,896,0.3255082987876676,7153374,137878,3153,1590000,378583856,73,36,10,7,0,6,1,0,3,2,0,2025,9,25,3,0.6666666666666666,4.498974528946837,0.0197153092071924,0.0867156687322838,0.0019830176207436
4177,4177,5699,435,5540,0.9267949325458176,478226,9268,40,41400,119241171,67,36,26,5,0,5,2,0,0,1,1,2025,10,17,4,0.0,11.551073645564117,0.0194635601921263,0.2238593270693944,0.0009661602376754
4178,4178,6635,2872,4155,0.976148634442211,411600,12426,1748,1800000,782904215,42,21,17,9,0,10,1,0,0,0,0,2025,10,19,6,0.5,0.2286665396297002,0.0344362623025697,0.0069033294981502,0.0009711105716052
4179,4179,7170,5090,6267,0.86946567041457,769220,17796,86,253000,462951699,67,22,23,10,0,1,2,0,0,1,3,2025,10,15,2,1.0,3.0403832395919386,0.0232468952355694,0.0703396429263125,0.0003399196050608
4180,4180,5994,3174,6345,0.993169857623002,53651,2247,222,541000,491400842,91,42,25,2,0,7,1,0,0,1,2,2025,10,20,0,0.1666666666666666,0.0991698721444137,0.0460187877432341,0.0041534119160593,0.0004103504429751
4181,4181,5550,8019,5554,0.9484028481678024,209140,9325,92,195000,195184486,38,18,24,3,0,2,0,0,0,2,1,2025,10,18,5,0.3333333333333333,1.0725073204752795,0.0450270391745281,0.0478202675883713,0.0004717924523463
4182,4182,4965,3212,2856,0.924273444192977,53398,3064,122,659,11135265,67,37,10,7,0,6,1,0,0,1,0,2025,10,17,4,0.0,80.9060606060606,0.0596640386524092,4.642424242424243,0.1848484848484848
4183,4183,7921,172,6897,0.8455239266806984,2662072,19612,73,64400,87047375,91,40,1,8,0,3,2,0,0,1,3,2025,10,14,1,0.8333333333333333,41.33587987764165,0.0073946131454697,0.304529432772783,0.0011335227713855
4184,4184,8290,3423,3293,0.8713510595899834,1672913,53858,416,1790000,2146267068,67,11,1,8,0,3,2,0,0,1,3,2025,10,15,2,1.0,0.9345877460403652,0.0324427914405641,0.0300882513473456,0.0002324021048032
4185,4185,7051,2651,4900,0.9786892653949052,2032391,68506,200,400000,344165123,42,42,26,5,0,5,0,0,0,0,1,2025,10,19,6,0.5,5.080964797588006,0.0338054863431857,0.1712645718385704,0.0004999987500031
4186,4186,7499,6059,5347,0.8369241921665207,1443813,23349,54,585000,353424682,73,36,24,3,0,2,2,0,0,2,1,2025,10,14,1,0.8333333333333333,2.468052191363776,0.0162091515943189,0.0399127522858935,9.2307534517035e-05
4187,4187,5286,95,1417,0.9835150834271644,206794,18558,1685,989000,598423028,89,36,25,2,0,7,1,0,0,2,2,2025,10,19,6,0.5,0.209093822958723,0.09788921395585,0.0187643895203341,0.0017037394299904
4188,4188,4704,2207,6041,0.763817034403246,1176436,20573,1224,742000,148354562,62,29,1,8,0,3,2,0,0,2,3,2025,10,11,5,0.3333333333333333,1.585491124675034,0.0185279789737997,0.0277263777272537,0.0016495934641597
4189,4189,6937,7138,7472,0.8632713134020378,3465679,50056,584,15300,113863354,48,25,23,10,0,1,2,0,0,1,3,2025,10,15,2,1.0,226.50016338801385,0.0146118510653032,3.27142016861643,0.0381674400365989
4190,4190,7403,1556,756,0.8703346189209924,2035528,32956,117,5020000,2099277948,2,0,26,5,0,5,0,0,0,2,1,2025,10,15,2,1.0,0.405483584565023,0.0162478648056598,0.006564938931287,2.330676826558401e-05
4191,4191,5119,3906,4951,0.896913648046052,3609243,63827,54,2540000,1569568505,28,13,17,9,0,10,0,0,0,1,0,2025,10,16,3,0.6666666666666666,1.4209612515900585,0.0176992744186871,0.0251287302642794,2.1259834149671595e-05
4192,4192,2640,1416,4574,0.91578166138936,13354236,389788,172,1090000,333816393,42,35,1,8,0,3,3,0,3,0,3,2025,10,17,4,0.0,12.251581420567504,0.0292012190587901,0.3576033416483104,0.0001577980203687
4193,4193,2384,1818,3605,0.9395106398335428,565383,18299,1474,2660000,1469677843,67,3,22,1,0,8,1,0,0,1,2,2025,10,18,5,0.3333333333333333,0.212549920094015,0.0349726911267386,0.0068793207220598,0.0005541351300243
4194,4194,6188,6731,5271,0.7557683557133714,1968184,15499,186,10900,14130895,73,36,17,9,0,10,1,0,0,2,0,2025,10,11,5,0.3333333333333333,180.5507751582424,0.0079692711813167,1.421796165489405,0.0170626548023117
4195,4195,2604,2506,3420,0.9850772450973864,76490,641,3,48600,17473512,22,11,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,1.5738359293018662,0.0084192911584369,0.0131890290323244,6.172712495627662e-05
4196,4196,4455,1055,1775,0.8425599618402657,2548869,47162,194,2180000,695051788,86,44,1,8,0,3,2,0,0,1,3,2025,10,14,1,0.8333333333333333,1.1692054269699876,0.0185792135338404,0.021633935030305,8.899078486661244e-05
4197,4197,1375,6313,3687,0.8307674927273183,6729275,35743,49,1680000,2481088788,93,48,2,6,0,0,2,0,3,1,0,2025,10,14,1,0.8333333333333333,4.0055184490961615,0.0053188485655812,0.0212755825740579,2.916664930556589e-05
4198,4198,2664,5369,4180,0.8410662114283696,15129918,428768,1197,12000000,16164498177,4,42,23,10,2,1,3,2,3,1,3,2025,10,14,1,0.8333333333333333,1.2608263949311338,0.028418195761656,0.0357306636891113,9.97499916875007e-05
4199,4199,1909,349,4358,0.7658122581677844,564025,14009,489,730000,273155639,86,44,28,4,0,9,1,0,0,1,0,2025,10,11,5,0.3333333333333333,0.7726359278959892,0.0257044888001616,0.0191903846707059,0.0006698620960793
4200,4200,2625,652,197,0.7830380874972889,122925,3125,145,36300,42247127,67,18,10,7,0,6,1,0,0,1,0,2025,10,12,6,0.5,3.3862703506790446,0.0266013699298765,0.0860857827608054,0.0039943803201013
4201,4201,3230,1313,992,0.9591217626255002,425438,3044,107,142000,79954617,35,0,25,2,0,7,0,0,0,2,2,2025,10,18,5,0.3333333333333333,2.9960211547806,0.0074064672021135,0.0214364687572622,0.0007535158203111
4202,4202,4646,5152,6149,0.8864699476873739,178885,12034,2448,449000,382008404,22,1,25,2,0,7,0,0,0,1,2,2025,10,16,3,0.6666666666666666,0.3984066850630622,0.0809565868765582,0.0268017220451624,0.0054521036701477
4203,4203,2959,6340,7215,0.8740721330818815,35054,838,0,95500,105169536,89,39,22,1,0,8,1,0,0,2,2,2025,10,15,2,1.0,0.3670537481282918,0.0239052916844957,0.0087747772274635,0.0
4204,4204,1270,3960,5910,0.6522037525771793,9011863,178531,840,47100,73987130,28,33,17,9,0,10,0,0,3,1,0,2025,10,7,1,0.8333333333333333,191.33060869195984,0.0199038733829094,3.790386615995414,0.0178340162629243
